coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,price_change_percentage_1h,price_change_percentage_7d,circulating_supply,last_updated,collected_at
bitcoin,BTC,Bitcoin,78302.0,1572339891208,1,29308010387,79230.0,77523.0,-305.9382675163069,-0.17202,0.0,-1.3,20078215.0,2026-09-01T14:51:20.000Z,2026-09-01T14:53:33.736667+00:00
bitcoin,BTC,Bitcoin,78180.0,1569293166759,1,29228957698,79230.0,77523.0,-385.8518949092104,-0.45419,0.0,-1.3,20078215.0,2026-09-01T14:56:20.000Z,2026-09-01T14:59:02.324828+00:00
cardano,ADA,Cardano,0.200014,7501148400,19,328139048,0.202834,0.195018,0.00351836,1.82804,0.1,-8.9,37498597081.30407,2026-09-01T14:51:20.000Z,2026-09-01T14:53:33.736667+00:00
cardano,ADA,Cardano,0.199682,7483065176,19,326619929,0.202834,0.195018,0.00378953,1.51917,0.1,-8.9,37498597081.30407,2026-09-01T14:56:20.000Z,2026-09-01T14:59:02.324828+00:00
ethereum,ETH,Ethereum,2452.9,296053054711,2,11385849570,2488.52,2432.33,-18.77996709668741,-0.46304,-0.2,-1.3,120681092.8627613,2026-09-01T14:51:20.000Z,2026-09-01T14:53:33.736667+00:00
ethereum,ETH,Ethereum,2448.84,295473745066,2,11414765156,2488.52,2432.33,-19.55072618034228,-0.70461,-0.2,-1.3,120681092.8627613,2026-09-01T14:56:20.000Z,2026-09-01T14:59:02.324828+00:00
ripple,XRP,XRP,1.38,86598885141,5,1783351728,1.4,1.36,0.00526312,0.39182,0.3,-6.8,62744504852.0,2026-09-01T14:51:20.000Z,2026-09-01T14:53:33.736667+00:00
ripple,XRP,XRP,1.38,86421492327,5,1780682144,1.4,1.36,0.00561828,0.12719,0.3,-6.8,62744504852.0,2026-09-01T14:56:20.000Z,2026-09-01T14:59:02.324828+00:00
solana,SOL,Solana,102.26,59863364670,7,3008801036,104.9,101.41,-0.7879639105127438,-1.07964,-0.1,3.3,585206780.9147915,2026-09-01T14:51:20.000Z,2026-09-01T14:53:33.736667+00:00
solana,SOL,Solana,101.97,59664284273,7,2963383466,104.9,101.41,-0.8539591970924931,-1.45862,-0.1,3.3,585206780.9147915,2026-09-01T14:56:20.000Z,2026-09-01T14:59:02.324828+00:00
